Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model
20170710X52551,NYC79AA106,1979-09-17,"BOSTON, MA",Non-Fatal,CF-TLU,2.0,Turbo Fan,0.0,0.0,1.0,44.0,Mcdonnell Douglas: DC9
20020917X01897,CHI82IA026,1982-01-12,"CHICAGO, IL",Incident,N31031,3.0,Turbo Fan,0.0,0.0,0.0,149.0,Lockheed: L-1011
20020917X02397,MIA82FA034,1982-01-19,"MIAMI, FL",Non-Fatal,HCBHS,4.0,Turbo Prop,0.0,0.0,0.0,6.0,Canadair: CL-44D4
20020917X01909,DCA82AA013,1982-01-23,"BOSTON, MA",Fatal(2),N113WA,3.0,Turbo Fan,2.0,4.0,24.0,182.0,Mcdonnell Douglas: DC-10-30
20020917X01910,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",Non-Fatal,N1814U,3.0,Turbo Fan,0.0,1.0,0.0,154.0,Mcdonnell Douglas: DC-10-10
20020917X02336,LAX82IA075,1982-02-15,"ONTARIO, CA",Incident,N73717,2.0,Turbo Jet,0.0,0.0,0.0,119.0,Boeing: B737-2H4
20020917X02151,FTW82IA062,1982-02-19,"HARLINGEN, TX",Incident,XAMEJ,3.0,Turbo Jet,0.0,0.0,0.0,83.0,Boeing: B-727-200
20020917X02477,MKC82IA042,1982-03-08,"LAS VEGAS, NV",Incident,N6728,4.0,Turbo Fan,1.0,0.0,0.0,0.0,Boeing: 707-131B
20020917X02338,LAX82IA103,1982-03-10,"LONG BEACH, CA",Incident,N778JA,2.0,Turbo Fan,0.0,0.0,0.0,68.0,Mcdonnell Douglas: DC-9-82
20020917X01989,DEN82IA049,1982-03-25,"DENVER, CO",Incident,N857H,2.0,Turbo Prop,0.0,0.0,0.0,20.0,Gulfstream: G159-C
20020917X01904,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",Incident,N7627U,3.0,Turbo Fan,0.0,0.0,0.0,108.0,Boeing: 727-200
20020917X02079,FTW82DA139,1982-04-18,"AUSTIN, TX",Non-Fatal,N32717,3.0,Turbo Fan,0.0,0.0,0.0,68.0,Boeing: 727-200
20020917X02421,MIA82IA102,1982-04-20,"MIAMI, FL",Incident,N333EA,3.0,Turbo Fan,0.0,0.0,0.0,152.0,Lockheed: L-1011
20020917X03236,DEN82IA090,1982-05-18,"GILLETTE, WY",Incident,N114GA,2.0,Turbo Prop,0.0,0.0,0.0,21.0,Gulfstream: G-159C
20020917X02737,ATL82DA142,1982-05-22,"MEMPHIS, TN",Non-Fatal,N9356,2.0,Turbo Jet,0.0,1.0,0.0,56.0,Mcdonnell Douglas: DC-9-15F
20020917X03653,LAX82FA195,1982-05-26,"SAN FRANCISCO, CA",Non-Fatal,N1833U,3.0,Turbo Fan,0.0,0.0,25.0,113.0,Mcdonnell Douglas: DC10-10
20020917X03237,DEN82IA098,1982-05-27,"NEAR GOSHEN, IN",Incident,N8088U,4.0,Turbo Jet,0.0,0.0,17.0,129.0,Mcdonnell Douglas: DC-8-61
20020917X04018,NYC82FA110,1982-05-29,ATLANTIC OCEAN,Non-Fatal,N801EV,4.0,Turbo Fan,0.0,1.0,1.0,109.0,Mcdonnell Douglas: DC8-52
20020917X03238,DEN82IA103,1982-06-08,"GILLETTE, WY",Incident,N159AN,2.0,Turbo Prop,0.0,0.0,0.0,29.0,Grumman: G-159C
20020917X04180,SEA82IA101,1982-07-05,"BOISE, ID",Incident,N919RW,2.0,Turbo Fan,0.0,0.0,0.0,84.0,Mcdonnell Douglas: DC-9-31
20020917X04065,NYC82IA137,1982-07-05,"FLUSHING, NY",Incident,CGAAA,3.0,Turbo Fan,0.0,0.0,0.0,74.0,Boeing: 727-233
20020917X03515,LAX82AA259,1982-07-16,"MORTON, WY",Non-Fatal,N1815U,3.0,Turbo Fan,0.0,7.0,19.0,142.0,Mcdonnell Douglas: DC-10-10
20020917X04067,NYC82IA170,1982-07-28,"FLUSHING, NY",Incident,N64323,3.0,Turbo Fan,0.0,0.0,0.0,129.0,Boeing: 727-231
20020917X03240,DEN82IA154,1982-08-05,"DENVER, CO",Incident,N7356F,2.0,Turbo Fan,0.0,0.0,0.0,102.0,Boeing: 737-291
20020917X03898,MKC82IA143,1982-08-12,"NORTH PLATTE, NE",Incident,N7345F,2.0,Turbo Fan,0.0,0.0,33.0,0.0,Boeing: 737-291
20020917X03729,LAX82IA309,1982-08-21,"HONOLULU, HI",Incident,N104WA,3.0,Turbo Fan,0.0,0.0,0.0,393.0,Mcdonnell Douglas: DC-10-30F
20020917X04491,DCA82IA031,1982-09-02,"WASHINGTON, DC",Incident,N288WA,3.0,Turbo Fan,0.0,1.0,1.0,128.0,Boeing: 727
20020917X04495,DCA83IA002,1982-10-18,"HOUSTON, TX",Incident,N536TX,2.0,Turbo Fan,0.0,0.0,0.0,65.0,Mcdonnell Douglas: DC-9-30
20020917X04699,FTW83LA033,1982-11-02,"AUSTIN, TX",Non-Fatal,N55SW,2.0,Turbo Fan,0.0,1.0,0.0,67.0,Boeing: 737-200
20020917X04219,ANC83FA012,1982-11-04,"NELSON LAGOON, AK",Non-Fatal,N4752C,2.0,Reciprocating,0.0,2.0,0.0,0.0,Fairchild: C-82
20020917X04908,MIA83FA027,1982-11-11,"MIAMI, FL",Fatal(1),N707GB,4.0,Turbo Fan,1.0,0.0,0.0,3.0,Boeing: 707-300
20020917X04534,DEN83FA021,1982-11-18,"DENVER, CO",Non-Fatal,N68056,3.0,Turbo Fan,0.0,0.0,0.0,136.0,Mcdonnell Douglas: DC-10
20020917X04669,FTW83IA044,1982-11-22,"LITTLE ROCK, AR",Incident,N846AA,3.0,Turbo Fan,0.0,0.0,0.0,23.0,Boeing: 727-223
20020917X04910,MIA83FA036,1982-11-27,"MIAMI, FL",Non-Fatal,HK284,4.0,Turbo Fan,0.0,0.0,0.0,116.0,Boeing: 707-323C
20020917X05142,SEA83IA027,1982-12-01,"BOISE, ID",Incident,N785NC,2.0,Turbo Fan,0.0,0.0,0.0,22.0,Mcdonnell Douglas: DC-9-51
20020917X04915,MIA83IA043,1982-12-06,"SARASOTA, FL",Incident,N8871Z,3.0,Turbo Fan,0.0,0.0,0.0,21.0,Boeing: 727-225
20020917X04341,ATL83IA054,1982-12-07,"CHAMBLEE, GA",Incident,N153TG,2.0,Turbo Prop,0.0,0.0,0.0,3.0,Gulfstream: G-159
20020917X04570,DEN83LA026,1982-12-09,"DENVER, CO",Non-Fatal,N7346F,2.0,Turbo Fan,0.0,0.0,0.0,57.0,Boeing: 737-291
20020917X04437,CHI83IA063,1982-12-18,"PELLSTON, MI",Incident,N9344,2.0,Turbo Fan,0.0,0.0,0.0,51.0,Mcdonnell Douglas: DC9-30
20020917X04672,FTW83IA086,1982-12-26,"MEMPHIS, TN",Incident,N6810,3.0,Turbo Fan,0.0,0.0,0.0,58.0,Boeing: 727-223
20020917X04343,ATL83IA085,1982-12-28,"WASHINGTON, DC",Incident,N752N,2.0,Turbo Jet,0.0,0.0,0.0,73.0,Boeing: 737-222
20020917X04671,FTW83IA072,1982-12-30,"THERMAL, CA",Incident,N137AA,3.0,Turbo Fan,0.0,0.0,14.0,203.0,Mcdonnell Douglas: DC-10-30
20001214X42478,LAX83IA149B,1983-03-18,"LOS ANGELES, CA",Incident,N323EA,3.0,Turbo Fan,0.0,0.0,0.0,588.0,Lockheed: L-1011
20001214X42478,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",Incident,9VSQQ,4.0,Turbo Fan,0.0,0.0,0.0,588.0,Boeing: 747
20001214X44248,MIA83IA210,1983-08-21,"NORFOLK, VA",Incident,N69NA,3.0,Turbo Fan,0.0,0.0,0.0,289.0,Mcdonnell Douglas: DC-10-10
20001214X45013,CHI84IA041,1983-11-08,"CHICAGO, IL",Incident,N898AA,3.0,Turbo Fan,0.0,0.0,0.0,100.0,Boeing: 727-200
20001214X39980,LAX84LA349,1984-06-11,"LOS ANGELES, CA",Non-Fatal,N501PA,3.0,Turbo Fan,0.0,0.0,0.0,157.0,Lockheed: L-1011-385-3
20001213X33489,BFO86IA031A,1986-05-30,"CALVERTON, NY",Incident,N1310T,2.0,Turbo Fan,0.0,0.0,0.0,69.0,Mcdonnell Douglas: DC-9-31
20001213X30244,FTW87RA066,1987-02-14,"DURANGO, Mexico",Fatal(1),N712PC,4.0,Turbo Jet,1.0,0.0,3.0,131.0,Boeing: 707-323B
20001213X25535,MIA88WA161,1988-04-16,"San Jose, Costa Rica",Non-Fatal,N510EA,2.0,Unknown,0.0,1.0,0.0,192.0,Boeing: 757-225
20001213X25661,DCA88IA056,1988-05-02,"NR TOKYO, Japan",Incident,N157UA,4.0,Turbo Fan,0.0,0.0,0.0,258.0,Boeing: 747-123
20001213X27315,MIA89WA071,1988-11-14,"PANAMA CITY, Panama",Non-Fatal,N205PA,0.0,Unknown,0.0,1.0,4.0,222.0,Airbus: A-300B4-203
20001213X27446,LAX89LA068,1988-12-23,"Midway Islands, PO",Non-Fatal,N146UA,4.0,Turbo Fan,0.0,1.0,1.0,220.0,Boeing: 747SP-21
20001212X22890,DCA90WA430,1990-04-30,"MOOSONEE, Canada",Fatal(1),,2.0,Unknown,1.0,3.0,0.0,0.0,Hawker Beechcraft: C99 AIRLINER
20001212X23667,DCA90WA049,1990-07-27,"BHARU, Malaysia",Non-Fatal,N108WA,0.0,Unknown,0.0,1.0,3.0,3.0,Mcdonnell Douglas: DC-10-30
20001212X17360,NYC91IA137,1991-06-06,"BOSTON, MA",Incident,N750UA,3.0,Turbo Fan,0.0,0.0,0.0,156.0,Boeing: 727-214
20001212X18577,CHI92RA060,1991-12-12,"NAKINA, Canada",Incident,N475EV,0.0,Unknown,0.0,0.0,0.0,0.0,Boeing: B-747-121
20001211X14270,DCA92MA025,1992-03-22,"FLUSHING, NY",Fatal(27),N485US,2.0,Turbo Fan,27.0,9.0,12.0,3.0,Fokker: 28-4000
20001211X15125,DCA92MA044,1992-07-30,"JAMAICA, NY",Non-Fatal,N11002,3.0,Turbo Fan,0.0,1.0,9.0,282.0,Lockheed: L-1011-385-1
20001207X03162,MIA95LA086A,1995-03-12,SAN JUAN,Non-Fatal,N724DA,3.0,Turbo Fan,0.0,0.0,0.0,339.0,Lockheed: L-1011-385
20001207X03162,MIA95LA086B,1995-03-12,SAN JUAN,Non-Fatal,N376MQ,2.0,Turbo Prop,0.0,0.0,0.0,339.0,Short Brothers: SD3-60
20001207X03355,MIA95RA121,1995-04-28,"GUATEMALA CTY., Guatemala",Fatal(6),N43UA,,Unknown,6.0,1.0,1.0,1.0,Mcdonnell Douglas: DC-8F-54
20001207X03526,NYC95IA114B,1995-05-19,"NEWARK, NJ",Incident,N13624,2.0,Turbo Fan,0.0,0.0,0.0,288.0,Boeing: 737-500
20001207X03526,NYC95IA114A,1995-05-19,"NEWARK, NJ",Incident,LNRCK,2.0,Turbo Fan,0.0,0.0,0.0,288.0,Boeing: 767-383ER
20001207X04862,FTW96RA039,1995-11-07,"PANAMA CITY, Panama",Incident,N79750,,Unknown,0.0,0.0,2.0,10.0,Boeing: B727-224
20001207X04990,DCA96RA020,1995-12-20,"BUGA, Colombia",Fatal(160),N651AA,,Unknown,160.0,4.0,0.0,0.0,Boeing: B757
20001208X06203,DCA96MA068,1996-07-06,"PENSACOLA, FL",Fatal(2),N927DA,2.0,Turbo Jet,2.0,2.0,3.0,137.0,Mcdonnell Douglas: MD-88
20001208X06865,DCA97WA004,1996-10-31,"SAO PAULO, Brazil",Fatal(97),,,Unknown,97.0,4.0,2.0,0.0,Fokker: 100
20001208X07016,DCA97WA005,1996-11-06,"BUENOS AIRES, Argentina",Incident,N271W,,Unknown,0.0,0.0,0.0,282.0,Mcdonnell Douglas: MD-11
20001208X07017,DCA97WA011,1996-11-23,"COMORSO ISLANDS, Ethiopia",Fatal(125),,,Unknown,125.0,44.0,2.0,4.0,Boeing: 767
20010711X01386,DCA97WA029,1997-02-15,"Panama City, Panama",Incident,,,,0.0,0.0,0.0,63.0,Boeing: 737
20001208X07516,DCA97WA032,1997-03-07,"PASEO LAS PALMA, Costa Rica",Non-Fatal,N851JA,,Unknown,0.0,1.0,6.0,0.0,Britten-Norman: BN2A-26
20001208X07698,DCA97WA044,1997-04-30,,Fatal(2),N9825F,,Unknown,2.0,0.0,0.0,0.0,Cessna: 208
20001208X07906,FTW97LA177,1997-05-04,"DENVER, CO",Non-Fatal,N217US,2.0,Turbo Jet,0.0,1.0,0.0,96.0,Boeing: 737-201
20001208X07895,DCA97WA045,1997-05-08,"SHENZHEN, China",Fatal(35),,,Unknown,35.0,0.0,0.0,0.0,Boeing: 737-300
20001208X07896,DCA97WA047A,1997-05-14,"LONDON, United Kingdom",Non-Fatal,,4.0,Turbo Fan,0.0,0.0,0.0,573.0,Boeing: 747-400
20001208X07896,DCA97WA047B,1997-05-14,"LONDON, UNITED KINGDOM",Non-Fatal,N770UA,2.0,Turbo Fan,0.0,0.0,0.0,573.0,Boeing: B777
20001208X08067,ATL97WA079,1997-06-03,"ASUNCION, Paraguay",Non-Fatal,N651UA,,Unknown,0.0,1.0,0.0,122.0,Boeing: 767-300
20001208X08107,DCA99WA071,1997-06-30,"SAUDIA ARABIA, Saudi Arabia",Incident,,,Unknown,0.0,0.0,0.0,2.0,Airbus: A300-600
20001208X08313,CHI97IA212,1997-07-12,"MEMPHIS, TN",Incident,N9348,2.0,Turbo Jet,0.0,0.0,0.0,75.0,Mcdonnell Douglas: DC-9-15
20001208X08352,DCA97WA054,1997-07-21,"SOUTHERN THAILA, Thailand",Unavailable,,,Unknown,0.0,0.0,0.0,0.0,Learjet: LR-31
20001208X08714,MIA97WA226,1997-08-02,"LIMA, Peru",Fatal(1),N12114,,Unknown,1.0,0.0,0.0,149.0,Boeing: 757-200
20001208X08606,DCA97MA058,1997-08-06,"NIMITZ HILL, GU",Fatal(228),H7468,4.0,Turbo Fan,228.0,26.0,0.0,0.0,Boeing: 747-300
20001208X08828,DCA98WA006,1997-09-02,"SPA BELGIUM, Belgium",Incident,,,Unknown,0.0,0.0,0.0,0.0,Dehavilland: DHC-2
20001208X08990,DCA98WA004,1997-10-09,"BANJUL, Gambia",Fatal(8),,,Unknown,8.0,0.0,1.0,0.0,Hawker Beechcraft: BE-200
20001208X08991,DCA98WA005,1997-10-24,"MONTEVIDEO, URUGUAY",Unavailable,N275WA,,Unknown,0.0,0.0,0.0,0.0,Mcdonnell Douglas: MD-11
20001208X09164,DCA98WA007,1997-11-18,"MWANZA AIRPORT, TANZANIA",Non-Fatal,,,Unknown,0.0,0.0,4.0,0.0,Mcdonnell Douglas: DC-8F
20001208X09165,DCA98WA039,1997-11-23,"PARIS, France",Incident,,,Unknown,0.0,0.0,0.0,138.0,Mcdonnell Douglas: MD-83
20001208X09296,DCA98WA017,1997-12-02,"PARIS, France",Incident,,,Unknown,0.0,0.0,0.0,0.0,Mcdonnell Douglas: MD83-2
20001211X09413,DCA98RA016,1998-01-09,"LONDON, United Kingdom",Non-Fatal,N653UA,,Turbo Fan,0.0,1.0,4.0,87.0,Boeing: 767-322ER
20001211X09416,DCA98WA022,1998-01-20,"CLERRMONT-FERRA, France",Incident,,,Unknown,0.0,0.0,0.0,0.0,Saab: 2000
20001211X09533,DCA98WA024,1998-02-17,"BRUSSELS, Belgium",Incident,,,Unknown,0.0,0.0,0.0,2.0,Boeing: 757-200
20001211X09650,DCA98WA027,1998-03-03,"MEXICO CITY, MEXICO",Non-Fatal,,,Unknown,0.0,0.0,0.0,51.0,Fokker: F-100
20001211X09657,DCA99WA029,1998-03-08,"MANCHESTER, United Kingdom",Incident,N68065,,Unknown,0.0,0.0,0.0,253.0,Mcdonnell Douglas: DC-10-30
20001211X09652,DCA98WA032,1998-03-08,"KOLN-BONN, Germany",Incident,N812UP,,Unknown,0.0,0.0,0.0,3.0,Mcdonnell Douglas: DC8-73
20001211X09651,DCA98WA028,1998-03-10,"MOMBOSA, Kenya",Fatal(6),,,Unknown,6.0,0.0,0.0,0.0,Boeing: 707-336
20001211X10045,DCA98WA048,1998-05-29,"BOMBAY, INDIA",Unavailable,,,Unknown,0.0,0.0,0.0,0.0,Boeing: B-737-500
20001211X10281,DCA98WA051,1998-06-06,"ANTALYA, France",Non-Fatal,,,Unknown,0.0,0.0,0.0,173.0,Mcdonnell Douglas: MD-83
20001211X10287,DCA98WA062,1998-06-27,"MUNICH, Germany",Incident,,,Unknown,0.0,0.0,0.0,0.0,Boeing: 737-800
20001211X10547,DCA98WA070,1998-07-02,"BRAZIL, Brazil",Incident,,,Unknown,0.0,0.0,0.0,5.0,Boeing: 737-400
20001211X10544,DCA98WA066,1998-07-09,"LONDON, United Kingdom",Incident,N70072,,Unknown,0.0,0.0,0.0,1.0,Airbus: A300
20001211X10545,DCA98WA067,1998-07-19,"KOS, GREECE",Non-Fatal,,,Unknown,0.0,0.0,0.0,1.0,Lockheed: L-1011
20001211X10546,DCA98WA069,1998-07-20,"AMSTERDAM, Netherlands",Incident,N482EV,,Unknown,0.0,0.0,0.0,3.0,Boeing: 747
20001211X10548,DCA98WA071,1998-07-28,"BARCELONA, Spain",Fatal(2),,,Unknown,2.0,0.0,0.0,0.0,
20001211X10549,DCA98WA074,1998-07-29,"LONDON HEATHROW, United Kingdom",Incident,N796UA,,Unknown,0.0,0.0,0.0,1.0,Boeing: 777
20001211X10828,DCA98WA090,1998-08-21,"SAN BLAS, Panama",Non-Fatal,,,Unknown,0.0,0.0,0.0,5.0,Britten-Norman: BN-2A-26
20010108X00060,DCA98WA083,1998-08-28,"CALCUTTA, India",Incident,,,Unknown,0.0,0.0,0.0,0.0,Airbus: 319
20001211X11042,DCA99WA003,1998-09-12,,Incident,,,Unknown,0.0,0.0,0.0,200.0,Boeing: 767
20001211X11228,DCA99WA004,1998-10-13,"AMSTERDAM, Netherlands",Incident,N230NW,,Unknown,0.0,0.0,0.0,0.0,Mcdonnell Douglas: DC-10-30
20001211X11475,MIA99LA026,1998-11-03,"MEMPHIS, TN",Fatal(1),N325PX,2.0,Turbo Prop,1.0,0.0,0.0,11.0,Saab: 340A
20001211X11485,MIA99WA029,1998-11-11,"CONCEPCION, Bolivia",Non-Fatal,N784UA,,Turbo Fan,0.0,1.0,0.0,227.0,Boeing: 777-222B
20001211X11409,DCA99WA022,1998-11-11,"MELBOURNE, Australia",Incident,,,Unknown,0.0,0.0,1.0,30.0,Saab: 340
20001211X11537,DCA99WA017,1998-12-05,"ISTANBUL, Turkey",Fatal(2),,,Unknown,2.0,0.0,0.0,0.0,Hawker Beechcraft: KINGAIR 300
20001211X11541,DCA99WA025,1998-12-17,"CAMARINES PROVI, Philippines",Fatal(2),,,Unknown,2.0,0.0,0.0,0.0,Hawker Beechcraft: 95
20001211X11544,DCA99WA036,1998-12-25,"SHANGHAI, CHINA",Incident,,,Unknown,0.0,0.0,0.0,0.0,Mcdonnell Douglas: MD-11
20001211X11543,DCA99WA027,1998-12-28,"CURITBA, BRAZIL",Incident,,,Unknown,0.0,0.0,0.0,40.0,Embraer: EMB-145
20001204X00044,DCA99WA031,1999-01-15,"LONDON, UNITED KINGDOM",Non-Fatal,N373AA,,Turbo Fan,0.0,0.0,0.0,91.0,Boeing: 767-300
20001204X00045,DCA99WA035,1999-01-28,"NAPLES, ITALY",Unavailable,,,Unknown,0.0,0.0,0.0,0.0,Mcdonnell Douglas: MD-82
20001205X00145,DCA99WA038,1999-02-07,"SLOVAK REPUBLIC, SLOVAKIA",Non-Fatal,,,Unknown,0.0,0.0,0.0,4.0,Boeing: 707
20001205X00146,DCA99WA039,1999-02-08,"AMSTERDAM, Netherlands",Incident,,,Unknown,0.0,0.0,0.0,3.0,Boeing: 747-200
20001205X00295,DCA99WA042,1999-03-01,"SHANNON, IRELAND",Non-Fatal,N285F,,Turbo Prop,0.0,0.0,0.0,6.0,Lockheed: L-188
20001205X00299,DCA99WA050,1999-03-04,"BIARRITZ, FRANCE",Unavailable,,,Unknown,0.0,0.0,0.0,0.0,Boeing: 737-228
20001205X00296,DCA99WA047,1999-03-05,"MADRAS, India",Non-Fatal,,,Unknown,0.0,0.0,0.0,2.0,Boeing: 747-200F
20001205X00298,DCA99WA049,1999-03-10,"CALGARY, Canada",Incident,N8873Z,,Unknown,0.0,0.0,0.0,96.0,Boeing: 727-200
20001205X00300,DCA99WA081,1999-03-20,"GENEVA, Switzerland",Incident,,,Unknown,0.0,0.0,0.0,2.0,Boeing: MD80/87
20001212X18964,DCA99WA061,1999-06-09,"ZHANJIANG, CHINA",Non-Fatal,,,Unknown,0.0,0.0,4.0,71.0,Boeing: 737-300
20001212X18965,DCA99WA062,1999-06-09,"TEGUCIGALPA, Honduras",Incident,N697AN,,Unknown,0.0,0.0,0.0,94.0,Boeing: 757
20001212X18966,DCA99WA063,1999-06-24,"POINTE A PITRE, France",Incident,N607GC,,Unknown,0.0,0.0,0.0,3.0,Mcdonnell Douglas: DC-10
20001212X18967,DCA99WA064,1999-06-28,"MANILA, PHILIPPINES",Non-Fatal,N420FE,,Turbo Fan,0.0,0.0,0.0,3.0,Airbus: A310
20001212X18968,DCA99WA066,1999-06-30,"MANILA, PHILIPPINES",Non-Fatal,N582FE,,Turbo Fan,0.0,0.0,0.0,2.0,Mcdonnell Douglas: MD-11
20001212X18969,DCA99WA075,1999-06-30,"LEIGE, Belgium",Fatal(2),,,Unknown,2.0,0.0,0.0,0.0,Hawker Beechcraft: 99
20001212X19232,DCA99WA070,1999-07-29,,Non-Fatal,,,Unknown,0.0,0.0,0.0,18.0,Embraer: EMB-110
20001212X19473,DCA99WA072,1999-08-08,"SHANGHAI, CHINA",Non-Fatal,,,Unknown,0.0,0.0,0.0,191.0,Mcdonnell Douglas: MD-11
20010330X00670,DCA99WA091,1999-08-21,"ISTANBUL, Turkey",Unavailable,,,Unknown,0.0,0.0,0.0,0.0,Hawker Beechcraft: 800XP
20001212X19469,DCA99RA073,1999-08-23,"HONG KONG, China",Non-Fatal,,,Unknown,0.0,0.0,200.0,117.0,Mcdonnell Douglas: MD-11
20001212X19475,DCA99WA080,1999-08-24,"COPENHAGEN, Denmark",Incident,,,Unknown,0.0,0.0,0.0,191.0,Boeing: 767
20001212X19474,DCA99WA078,1999-08-26,"DURBAN, South Africa",Incident,,,Unknown,0.0,0.0,0.0,5.0,Boeing: 737-200
20001212X19732,DCA99WA077,1999-09-02,"TAIPEI, TAIWAN",Incident,,,Unknown,0.0,0.0,0.0,3.0,Boeing: 747SP
20001212X19733,DCA99WA085,1999-09-18,"SHANNON, Ireland",Incident,N272WA,,Unknown,0.0,0.0,0.0,0.0,Mcdonnell Douglas: MD-11
20001212X19734,DCA99WA086,1999-09-23,"BANGKOK, THAILAND",Unavailable,,,Unknown,0.0,0.0,0.0,0.0,Boeing: 747-400
20001212X20085,DCA00WA007,1999-11-05,"LONDON, UNITED KINGDOM",Non-Fatal,N784UA,,Turbo Fan,0.0,0.0,0.0,274.0,Boeing: 777-200
20001212X20217,CHI00WA045,1999-12-13,"LONDON, United Kingdom",Non-Fatal,N786UA,,Turbo Fan,0.0,1.0,5.0,185.0,Boeing: 777-222
20001212X20221,DCA00WA016,1999-12-21,"GUATEMALA CITY, Guatemala",Fatal(18),,,Unknown,18.0,10.0,47.0,261.0,Mcdonnell Douglas: DC-10-30
20001212X20342,DCA00WA018,2000-01-02,"AMSTERDAM, Netherlands",Incident,,,Unknown,0.0,0.0,0.0,143.0,Boeing: 737-3K2
20001212X20343,DCA00WA022,2000-01-30,"ABIDJAN, Cote D'ivoire",Fatal(169),,,Unknown,169.0,0.0,10.0,0.0,Airbus: A 310
20001212X20475,DCA00WA025,2000-02-12,"LUANDA, Angola",Non-Fatal,,,Unknown,0.0,0.0,0.0,7.0,Boeing: B 727-100
20001212X20472,DCA00MA026,2000-02-16,"RANCHO CORDOVA, CA",Fatal(3),N8079U,4.0,Turbo Fan,3.0,0.0,0.0,0.0,Mcdonnell Douglas: DC-8-71F
20001212X20476,DCA00WA029,2000-02-27,"PORTO ALEGRE, BRAZIL",Non-Fatal,,,Unknown,0.0,0.0,0.0,123.0,Boeing: B737-400
20001212X20606,DCA00MA030,2000-03-05,"BURBANK, CA",Non-Fatal,N668SW,2.0,Turbo Fan,0.0,2.0,42.0,98.0,Boeing: 737-300
20001212X20608,DCA00WA039,2000-03-20,"AREQUIPA, PERU",Unavailable,,,Unknown,0.0,0.0,0.0,0.0,Boeing: 727-23
20001212X20607,DCA00WA031,2000-03-26,"JEDDAH, SAUDI ARABIA",Incident,,,Unknown,0.0,0.0,0.0,16.0,Boeing: B747-267B
20010321X00614,DCA00RA036,2000-04-02,"GUAYAQUIL, ECUADOR",Non-Fatal,N534MC,,Turbo Fan,0.0,0.0,0.0,3.0,Boeing: 747-200F
20010321X00615,DCA00WA035,2000-04-02,"YAP, Federated States Of Micronesia",Incident,N79743,,Unknown,0.0,0.0,0.0,0.0,Boeing: 727
20010108X00051,DCA00WA042,2000-04-18,"BRISBANE, Australia",Incident,,,Unknown,0.0,0.0,0.0,0.0,Boeing: 737-400
20001212X20792,DCA00WA040,2000-04-19,"SAMAL ISLAND, Philippines",Fatal(131),,,Unknown,131.0,0.0,0.0,0.0,Boeing: 737-200
20001212X20797,DEN00IA080,2000-04-30,"DENVER, CO",Incident,CFBAO,4.0,Turbo Fan,0.0,0.0,0.0,20.0,British Aerospace: BAE 146-200
20010324X00649,DCA00WA048,2000-05-11,,Incident,,,Unknown,0.0,0.0,0.0,0.0,Mcdonnell Douglas: MD87
20001212X21079,MIA00LA169,2000-05-20,"NASHVILLE, TN",Non-Fatal,N522SW,,Turbo Fan,0.0,1.0,0.0,123.0,Boeing: 737-500
20001212X20969,DCA00WA054,2000-05-25,"PARIS, FRANCE",Non-Fatal,,,Unknown,0.0,0.0,0.0,153.0,Mcdonnell Douglas: MD-80
20010108X00053,DCA00WA059,2000-06-07,"FRANKFURT, Germany",Incident,,,Unknown,0.0,0.0,0.0,0.0,Boeing: 747F
20010108X00052,DCA00WA058,2000-06-12,"ENGLISH CHANNEL, United Kingdom",Incident,,,Unknown,0.0,0.0,0.0,0.0,Boeing: 747-200
20001212X21426,DCA00WA074,2000-07-23,"MONTREAL, Canada",Incident,,,Unknown,0.0,0.0,380.0,0.0,Boeing: 747-2B6B
20010123X00342,MIA00WA277,2000-08-25,"ROSARIO, ARGENTINA",Non-Fatal,,,,0.0,0.0,0.0,2.0,Swearingen: SA-226TC
20001212X22138,CHI01WA014,2000-10-10,"PARIS, France",Non-Fatal,N234NW,,Turbo Fan,0.0,2.0,5.0,197.0,Mcdonnell Douglas: DC-10-30
20001212X22275,DCA01WA004,2000-11-15,"COPENHAGEN, Denmark",Incident,,,Unknown,0.0,0.0,0.0,97.0,Boeing: 757-200
20030930X01615,IAD01LA110,2000-11-26,"Boston, MA",Non-Fatal,EI-CRL,2.0,,0.0,2.0,0.0,0.0,Boeing: 767
20010216X00462,NYC01LA076,2000-12-27,"Boston, MA",Non-Fatal,N155DL,2.0,Turbo Fan,0.0,1.0,0.0,79.0,Boeing: 767-300ER
20010130X00371,DCA01WA013,2001-01-09,"BUENOS AIRES, ARGENTINA",Non-Fatal,,,,0.0,0.0,0.0,144.0,Boeing: 727-200
20010323X00639,DCA01WA019,2001-01-30,,Incident,,,,0.0,0.0,0.0,0.0,Boeing: B-777-300
20010226X00510,NYC01LA075A,2001-02-03,"BOSTON, MA",Non-Fatal,N3735D,2.0,Turbo Fan,0.0,0.0,0.0,135.0,Boeing: B-737-832
20010226X00510,NYC01LA075B,2001-02-03,"Boston, MA",Non-Fatal,N802US,2.0,Turbo Fan,0.0,0.0,0.0,135.0,Mcdonnell Douglas: MD-81
